Region,Founded_year,UK_rank,World_rank,CWUR_score,Minimum_IELTS_score,UG_average_fees_(in_pounds),PG_average_fees_(in_pounds),International_students,Student_satisfaction,Student_enrollment,Academic_staff,Control_type,Academic_Calender,Campus_setting,Estimated_cost_of_living_per_year_(in_pounds),Latitude,Longitude
North West England,1096.0,121,2333,68.36338666752229,4.5,10500,10500,0.015,0.738,"7,000-7,999",400-499,Public,Semesters,Urban,6000,54.8909,-2.9222
South East England,1992.0,122,761,71.1,4.5,12660,12830,0.13699999999999998,0.758,"20,000-24,999","1,500-1,999",Public,Continuous,Urban,8990,50.8598,-0.0879
Yorkshire and the Humber,1992.0,123,657,66.1,4.5,9500,11500,0.057,0.7929999999999999,"20,000-24,999","1,000-1,499",Public,Semesters,Urban,8270,53.8035,-1.548
West Midlands,1992.0,124,864,66.0,4.5,10000,10000,0.1559,0.7879999999999999,"15,000-19,999",900-999,Public,Semesters,Urban,8097,52.5876,-2.1273
North West England,2004.0,125,2100,69.78425143938676,4.5,11250,11250,0.069,0.821,"6,000-6,999",300-399,Public,Semesters,Urban,5500,53.5742,-2.4362
London,1848.0,126,1025,70.06842439375966,4.5,11400,13500,0.124,0.757,"9,000-9,999",400-499,Public,Continuous,Urban,15000,51.5526,-0.1113
London,1992.0,127,971,68.74228394001949,4.5,10700,11700,0.069,0.7609999999999999,"10,000-14,999",900-999,Public,Semesters,Suburban,10229,51.5076,0.0651
East of England,1096.0,128,1281,66.94252189565782,4.5,9750,9900,0.11699999999999999,0.774,"10,000-14,999",500-599,Public,Semesters,Urban,9415,51.8779,-0.4093
East of England,2007.0,129,4030,66.4594278732239,4.5,9495,9495,0.025,0.76,"7,000-7,999",200-299,Public,Semesters,Urban,9415,52.0523,1.1629
Wales,2008.0,130,2397,67.8897650769008,4.5,10250,10500,0.23,0.743,"5,000-5,999",200-299,Public,Semesters,Urban,7771,53.0526,-3.0062
London,1962.0,131,2759,65.99527871441484,5.5,9250,9250,0.1559,0.6609999999999999,"2,000-2,999",100-199,Public,Semesters,Urban,10229,51.5017,0.0055
